pixelindex,2h_b,2h_m,6h_b,6h_m,10m_b,10m_m,12h_b,12h_m,20m_b,20m_m,24h_b,24h_m,30m_b,30m_m,60m_b,60m_m
120552,-1.68687,0.066563,-1.68687,0.04334,-1.68687,0.24201,-1.68687,0.033429,-1.68687,0.157452,-1.68687,0.027226,-1.68687,0.127291,-1.68687,0.089921
120553,-1.67442,0.066311,-1.67442,0.043176,-1.67442,0.241095,-1.67442,0.033303,-1.67442,0.156857,-1.67442,0.027123,-1.67442,0.12681,-1.67442,0.089581
120554,-1.66983,0.06616,-1.66983,0.043078,-1.66983,0.240545,-1.66983,0.033227,-1.66983,0.156499,-1.66983,0.027061,-1.66983,0.12652,-1.66983,0.089377
120555,-1.66869,0.066053,-1.66869,0.043008,-1.66869,0.240155,-1.66869,0.033173,-1.66869,0.156245,-1.66869,0.027017,-1.66869,0.126315,-1.66869,0.089232
120556,-1.67371,0.066025,-1.67371,0.04299,-1.67371,0.240056,-1.67371,0.033159,-1.67371,0.156181,-1.67371,0.027006,-1.67371,0.126263,-1.67371,0.089195
120557,-1.70171,0.066297,-1.70171,0.043167,-1.70171,0.241042,-1.70171,0.033295,-1.70171,0.156823,-1.70171,0.027117,-1.70171,0.126782,-1.70171,0.089562
120558,-1.74447,0.066734,-1.74447,0.043452,-1.74447,0.242631,-1.74447,0.033515,-1.74447,0.157856,-1.74447,0.027296,-1.74447,0.127618,-1.74447,0.090152
120559,-1.79678,0.067286,-1.79678,0.043811,-1.79678,0.244638,-1.79678,0.033792,-1.79678,0.159162,-1.79678,0.027522,-1.79678,0.128673,-1.79678,0.090897
120560,-1.85458,0.067962,-1.85458,0.044251,-1.85458,0.247097,-1.85458,0.034132,-1.85458,0.160762,-1.85458,0.027798,-1.85458,0.129967,-1.85458,0.091811
120561,-1.91502,0.068693,-1.91502,0.044727,-1.91502,0.249753,-1.91502,0.034499,-1.91502,0.16249,-1.91502,0.028097,-1.91502,0.131363,-1.91502,0.092798
120562,-1.97808,0.069458,-1.97808,0.045225,-1.97808,0.252535,-1.97808,0.034883,-1.97808,0.1643,-1.97808,0.02841,-1.97808,0.132827,-1.97808,0.093832
120563,-2.0149,0.06989,-2.0149,0.045507,-2.0149,0.254108,-2.0149,0.0351,-2.0149,0.165323,-2.0149,0.028587,-2.0149,0.133654,-2.0149,0.094416
120564,-2.02366,0.06996,-2.02366,0.045552,-2.02366,0.254361,-2.02366,0.035135,-2.02366,0.165488,-2.02366,0.028616,-2.02366,0.133787,-2.02366,0.09451
120565,-2.00131,0.069739,-2.00131,0.045408,-2.00131,0.253556,-2.00131,0.035024,-2.00131,0.164964,-2.00131,0.028525,-2.00131,0.133364,-2.00131,0.094211
120566,-2.00679,0.06974,-2.00679,0.045409,-2.00679,0.253559,-2.00679,0.035024,-2.00679,0.164966,-2.00679,0.028525,-2.00679,0.133366,-2.00679,0.094212
120567,-2.00704,0.069719,-2.00704,0.045395,-2.00704,0.253486,-2.00704,0.035014,-2.00704,0.164919,-2.00704,0.028517,-2.00704,0.133327,-2.00704,0.094185
120568,-2.00641,0.069703,-2.00641,0.045385,-2.00641,0.253428,-2.00641,0.035006,-2.00641,0.164881,-2.00641,0.028511,-2.00641,0.133296,-2.00641,0.094164
120569,-2.00524,0.069699,-2.00524,0.045382,-2.00524,0.253413,-2.00524,0.035004,-2.00524,0.164871,-2.00524,0.028509,-2.00524,0.133289,-2.00524,0.094158
120570,-2.00136,0.069673,-2.00136,0.045365,-2.00136,0.253316,-2.00136,0.034991,-2.00136,0.164808,-2.00136,0.028498,-2.00136,0.133238,-2.00136,0.094122
120571,-1.99774,0.069654,-1.99774,0.045353,-1.99774,0.25325,-1.99774,0.034982,-1.99774,0.164765,-1.99774,0.028491,-1.99774,0.133203,-1.99774,0.094097
120572,-1.99594,0.069689,-1.99594,0.045376,-1.99594,0.253375,-1.99594,0.034999,-1.99594,0.164846,-1.99594,0.028505,-1.99594,0.133268,-1.99594,0.094144
121050,-1.53949,0.063962,-1.53949,0.041647,-1.53949,0.232552,-1.53949,0.032123,-1.53949,0.151299,-1.53949,0.026162,-1.53949,0.122316,-1.53949,0.086407
121051,-1.54227,0.063917,-1.54227,0.041618,-1.54227,0.232391,-1.54227,0.0321,-1.54227,0.151194,-1.54227,0.026144,-1.54227,0.122232,-1.54227,0.086347
121052,-1.5455,0.063885,-1.5455,0.041597,-1.5455,0.232273,-1.5455,0.032084,-1.5455,0.151117,-1.5455,0.026131,-1.5455,0.12217,-1.5455,0.086303
121053,-1.5488,0.063859,-1.5488,0.04158,-1.5488,0.232178,-1.5488,0.032071,-1.5488,0.151056,-1.5488,0.02612,-1.5488,0.12212,-1.5488,0.086268
121054,-1.55215,0.063836,-1.55215,0.041565,-1.55215,0.232096,-1.55215,0.03206,-1.55215,0.151002,-1.55215,0.026111,-1.55215,0.122077,-1.55215,0.086238
121055,-1.55566,0.063818,-1.55566,0.041553,-1.55566,0.232031,-1.55566,0.032051,-1.55566,0.15096,-1.55566,0.026103,-1.55566,0.122042,-1.55566,0.086213
121056,-1.55877,0.063808,-1.55877,0.041547,-1.55877,0.231995,-1.55877,0.032046,-1.55877,0.150936,-1.55877,0.026099,-1.55877,0.122023,-1.55877,0.0862
121057,-1.5622,0.063818,-1.5622,0.041553,-1.5622,0.232031,-1.5622,0.032051,-1.5622,0.15096,-1.5622,0.026103,-1.5622,0.122042,-1.5622,0.086213
121058,-1.56552,0.063828,-1.56552,0.04156,-1.56552,0.232066,-1.56552,0.032056,-1.56552,0.150983,-1.56552,0.026107,-1.56552,0.122061,-1.56552,0.086226
121059,-1.5699,0.063862,-1.5699,0.041581,-1.5699,0.232189,-1.5699,0.032072,-1.5699,0.151062,-1.5699,0.026121,-1.5699,0.122125,-1.5699,0.086272
