Gauge,Trace,Alarm Name,Type,Threshold,threshold_num,row_category
ACC - Rain -Albert Park Acc rainfall,10mm Drought Alarm,648719_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Multiple Gauge Rainfall Recency Alarm,1015735_Multiple Gauge Rainfall Recency Alarm,Overflow/Max,0.1,0.1,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Albert Park Acc rainfall,Rainfall 12 hr window sum,648719_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 24 hr window sum,648719_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 30 min window sum,648719_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 6 hr window sum,648719_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 60 min window sum,648719_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Albert Park Acc rainfall,Rainfall 7 days window sum,648719_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,10mm Drought Alarm,648718_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 12 hr window sum,648718_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 24 hr window sum,648718_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 30 min window sum,648718_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 6 hr window sum,648718_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 60 min window sum,648718_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Alexandra Park Rway rainfall,Rainfall 7 days window sum,648718_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,10mm Drought Alarm,647510_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Ararimu @ Zanders,Rainfall 12 hr window sum,647510_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 24 hr window sum,647510_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 30 min window sum,647510_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 6 hr window sum,647510_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 60 min window sum,647510_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Ararimu @ Zanders,Rainfall 7 days window sum,647510_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,10mm Drought Alarm,648615_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Avondale Racecourse,Rainfall 12 hr window sum,648615_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 24 hr window sum,648615_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 30 min window sum,648615_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 6 hr window sum,648615_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 60 min window sum,648615_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Avondale Racecourse,Rainfall 7 days window sum,648615_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,10mm Drought Alarm,646622_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 12 hr window sum,646622_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 24 hr window sum,646622_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 30 min window sum,646622_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 6 hr window sum,646622_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 60 min window sum,646622_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Awanohi Rainfall @ Okura,Rainfall 7 days window sum,646622_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,10mm Drought Alarm,741611_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Awhitu @ Brook Road,Rainfall 12 hr window sum,741611_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 24 hr window sum,741611_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 30 min window sum,741611_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 6 hr window sum,741611_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 60 min window sum,741611_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Awhitu @ Brook Road,Rainfall 7 days window sum,741611_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,10mm Drought Alarm,648732_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 12 hr window sum,648732_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 24 hr window sum,648732_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 30 min window sum,648732_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 6 hr window sum,648732_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 60 min window sum,648732_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Rainfall 7 days window sum,648732_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,10mm Drought Alarm,647738_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 12 hr window sum,647738_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 24 hr window sum,647738_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 30 min window sum,647738_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 6 hr window sum,647738_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 60 min window sum,647738_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Birkdale (Inwards Res.) NSCC03,Rainfall 7 days window sum,647738_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,10mm Drought Alarm,750301_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 12 hr window sum,750301_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 24 hr window sum,750301_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 30 min window sum,750301_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 6 hr window sum,750301_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 60 min window sum,750301_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Clevedon rainfall @ showgrounds,Rainfall 7 days window sum,750301_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,10mm Drought Alarm,648625_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 12 hr window sum,648625_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 20 hr window sum,Rainfall 20 hr window sum greater than 8mm,Overflow/Max,8.0,8.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 24 hr window sum,648625_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 30 min window sum,648625_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 6 hr window sum,648625_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 60 min window sum,648625_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Rainfall 7 days window sum,648625_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,10mm Drought Alarm,648733_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Dummy Rainfall 30 min window sum,15mm in last 30min,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 12 hr window sum,648733_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 24 hr window sum,648733_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 30 min window sum,648733_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 6 hr window sum,648733_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 60 min window sum,648733_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Cox's Bay Park Rainfall,Rainfall 7 days window sum,648733_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,10mm Drought Alarm,649637_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Cutler Park New Lynn,Rainfall 12 hr window sum,649637_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 24 hr window sum,649637_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 30 min window sum,649637_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 6 hr window sum,649637_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 60 min window sum,649637_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Cutler Park New Lynn,Rainfall 7 days window sum,649637_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),10mm Drought Alarm,649517_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 12 hr window sum,649517_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 24 hr window sum,649517_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 30 min window sum,649517_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 6 hr window sum,649517_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 60 min window sum,649517_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Forrest Hill Road Waiatarua (No#247),Rainfall 7 days window sum,649517_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,10mm Drought Alarm,648614_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56,9.56,Data freshness (recency)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 12 hr window sum,648614_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 24 hr window sum,648614_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 30 min window sum,648614_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 6 hr window sum,648614_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 60 min window sum,648614_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Harmel Road Waitakere City Council Pump Stn,Rainfall 7 days window sum,648614_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,10mm Drought Alarm,643510_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Hoteo at Oldfields,Rainfall 12 hr window sum,643510_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 24 hr window sum,643510_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 30 min window sum,643510_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 6 hr window sum,643510_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 60 min window sum,643510_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Hoteo at Oldfields,Rainfall 7 days window sum,643510_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,10mm Drought Alarm,644211_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 12 hr window sum,644211_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 24 hr window sum,644211_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 30 min window sum,644211_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 6 hr window sum,644211_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 60 min window sum,644211_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Kaipara Heads @ Wallers,Rainfall 7 days window sum,644211_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
