Gauge,Trace,Alarm Name,Type,Threshold,threshold_num,row_category
ACC - Rain - Clarks Beach @ Golf Course,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Clarks Beach @ Golf Course,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Clarks Beach @ Golf Course,Rainfall 7 days window sum,741712_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,10mm Drought Alarm,659012_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 10 min window sum,Greater than 30mm in 10 minutes,Overflow/Max,30.0,30.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 12 hr window sum,659012_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 24 hr window sum,659012_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 30 min window sum,659012_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 6 hr window sum,659012_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 60 min window sum,659012_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Clevedon Coast RAWS @ Forest,Rainfall 7 days window sum,659012_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,10mm Drought Alarm,750901_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Drury @ Turner Road,Rainfall 12 hr window sum,750901_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 24 hr window sum,750901_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 30 min window sum,750901_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 6 hr window sum,750901_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 60 min window sum,750901_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Drury @ Turner Road,Rainfall 7 days window sum,750901_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Karaka @ Walters Road,10mm Drought Alarm,741815_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Karaka @ Walters Road,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.64,9.64,Data freshness (recency)
ACC - Rain - Karaka @ Walters Road,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
