gauge_id,gauge_name,last_data,trace_id,trace_name,alarm_id,alarm_name,alarm_type,threshold,severity,is_critical,source
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37325,Rainfall 6 hr window sum,22674.0,644626_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37325,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37327,Rainfall 24 hr window sum,22938.0,644626_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37327,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37322,Rainfall 30 min window sum,22870.0,644626_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,37322,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,230589,Rainfall 30 second window sum,7874.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,230589,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,30822,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,1482420,Rainfall 60 min window sum - Mirror,23234.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3161035,ACC - Rain -Mahurangi @ Warkworth Sewage Treatment Plant,2025-12-12,1482420,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,1480872,10mm Drought Alarm,22614.0,647781_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,1480872,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,1482959,Rainfall 7 days window sum,23310.0,647781_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,1482959,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,801868,Max TP108 ARI,14531.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,801868,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,230470,Rainfall 30 second window sum,7755.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
11315277,ACC - Rain - Takapuna Rain @ Library,2025-12-12,230470,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1482953,Rainfall 7 days window sum,23309.0,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1482953,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1480861,10mm Drought Alarm,22613.0,Rain - Omaha Rain @ Golf Course_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1480861,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38616,Rainfall 24 hr window sum,22955.0,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
